author_name, affiliation, paper_title, paper_url, year_of_conference
"Harry Zhang",,"A Fast Decision Tree Learning Algorithm",2006/aaai06-080.php,2006
"Samarth Swarup",,"Cross-Domain Knowledge Transfer Using Structured Representations",2006/aaai06-081.php,2006
"Sylvian R. Ray",,"Cross-Domain Knowledge Transfer Using Structured Representations",2006/aaai06-081.php,2006
"Sean R. Szumlanski",,"Conflict Resolution and a Framework for Collaborative Interactive Evolution",2006/aaai06-082.php,2006
"Annie S. Wu",,"Conflict Resolution and a Framework for Collaborative Interactive Evolution",2006/aaai06-082.php,2006
"Charles E. Hughes",,"Conflict Resolution and a Framework for Collaborative Interactive Evolution",2006/aaai06-082.php,2006
"Shimon Whiteson",,"Sample-Efficient Evolutionary Function Approximation for Reinforcement Learning",2006/aaai06-083.php,2006
"Peter Stone",,"Sample-Efficient Evolutionary Function Approximation for Reinforcement Learning",2006/aaai06-083.php,2006
"David Wingate",,"Mixtures of Predictive Linear Gaussian Models for Nonlinear, Stochastic Dynamical Systems",2006/aaai06-084.php,2006
"Satinder Singh",,"Mixtures of Predictive Linear Gaussian Models for Nonlinear, Stochastic Dynamical Systems",2006/aaai06-084.php,2006
"Alicia Peregrin Wolfe",,"Decision Tree Methods for Finding Reusable MDP Homomorphisms",2006/aaai06-085.php,2006
"Andrew G. Barto",,"Decision Tree Methods for Finding Reusable MDP Homomorphisms",2006/aaai06-085.php,2006
"Linli Xu",,"Robust Support Vector Machine Training via Convex Outlier Ablation",2006/aaai06-086.php,2006
"Koby Crammer",,"Robust Support Vector Machine Training via Convex Outlier Ablation",2006/aaai06-086.php,2006
"Dale Schuurmans",,"Robust Support Vector Machine Training via Convex Outlier Ablation",2006/aaai06-086.php,2006
"Liu Yang",,"An Efficient Algorithm for Local Distance Metric Learning",2006/aaai06-087.php,2006
"Rong Jin",,"An Efficient Algorithm for Local Distance Metric Learning",2006/aaai06-087.php,2006
"Rahul Sukthankar",,"An Efficient Algorithm for Local Distance Metric Learning",2006/aaai06-087.php,2006
"Yi Liu",,"An Efficient Algorithm for Local Distance Metric Learning",2006/aaai06-087.php,2006
"Wai-Leong Yeow",,"Hard Constrained Semi-Markov Decision Processes",2006/aaai06-088.php,2006
"Chen-Khong Tham",,"Hard Constrained Semi-Markov Decision Processes",2006/aaai06-088.php,2006
"Wai-Choong Wong",,"Hard Constrained Semi-Markov Decision Processes",2006/aaai06-088.php,2006
"Yang Yu",,"A New Approach to Estimating the Expected First Hitting Time of Evolutionary Algorithms",2006/aaai06-089.php,2006
"Zhi-Hua Zhou",,"A New Approach to Estimating the Expected First Hitting Time of Evolutionary Algorithms",2006/aaai06-089.php,2006
"Qijun Zhao",,"A Direct Evolutionary Feature Extraction Algorithm for Classifying High Dimensional Data",2006/aaai06-090.php,2006
"David Zhang",,"A Direct Evolutionary Feature Extraction Algorithm for Classifying High Dimensional Data",2006/aaai06-090.php,2006
"Hongtao Lu",,"A Direct Evolutionary Feature Extraction Algorithm for Classifying High Dimensional Data",2006/aaai06-090.php,2006
"Zhi-Hua Zhou",,"On Multi-Class Cost-Sensitive Learning",2006/aaai06-091.php,2006
"Xu-Ying Liu",,"On Multi-Class Cost-Sensitive Learning",2006/aaai06-091.php,2006
"Martin Zinkevich",,"Optimal Unbiased Estimators for Evaluating Agent Performance",2006/aaai06-092.php,2006
"Michael Bowling",,"Optimal Unbiased Estimators for Evaluating Agent Performance",2006/aaai06-092.php,2006
"Nolan Bard",,"Optimal Unbiased Estimators for Evaluating Agent Performance",2006/aaai06-092.php,2006
"Morgan Kan",,"Optimal Unbiased Estimators for Evaluating Agent Performance",2006/aaai06-092.php,2006
"Darse Billings",,"Optimal Unbiased Estimators for Evaluating Agent Performance",2006/aaai06-092.php,2006
"Mazda Ahmadi",,"Keeping in Touch: Maintaining Biconnected Structure by Homogeneous Robots",2006/aaai06-093.php,2006
"Peter Stone",,"Keeping in Touch: Maintaining Biconnected Structure by Homogeneous Robots",2006/aaai06-093.php,2006
"Alon Altman",,"Quantifying Incentive Compatibility of Ranking Systems",2006/aaai06-094.php,2006
"Moshe Tennenholtz",,"Quantifying Incentive Compatibility of Ranking Systems",2006/aaai06-094.php,2006
"Moshe Babaioff",,"Impersonation-Based Mechanisms",2006/aaai06-095.php,2006
"Ron Lavi",,"Impersonation-Based Mechanisms",2006/aaai06-095.php,2006
"Elan Pavlov",,"Impersonation-Based Mechanisms",2006/aaai06-095.php,2006
"Michael Benisch",,"Algorithms for Rationalizability and CURB Sets",2006/aaai06-096.php,2006
"George Davis",,"Algorithms for Rationalizability and CURB Sets",2006/aaai06-096.php,2006
"Tuomas Sandholm",,"Algorithms for Rationalizability and CURB Sets",2006/aaai06-096.php,2006
"Felix Brandt",,"On Strictly Competitive Multi-Player Games",2006/aaai06-097.php,2006
"Felix Fischer",,"On Strictly Competitive Multi-Player Games",2006/aaai06-097.php,2006
"Yoav Shoham",,"On Strictly Competitive Multi-Player Games",2006/aaai06-097.php,2006
"Vincent Conitzer",,"Computing Slater Rankings Using Similarities among Candidates",2006/aaai06-098.php,2006
"Vincent Conitzer",,"Improved Bounds for Computing Kemeny Rankings",2006/aaai06-099.php,2006
"Andrew Davenport",,"Improved Bounds for Computing Kemeny Rankings",2006/aaai06-099.php,2006
"Jayant Kalagnanam",,"Improved Bounds for Computing Kemeny Rankings",2006/aaai06-099.php,2006
"Vincent Conitzer",,"Nonexistence of Voting Rules That Are Usually Hard to Manipulate",2006/aaai06-100.php,2006
"Tuomas Sandholm",,"Nonexistence of Voting Rules That Are Usually Hard to Manipulate",2006/aaai06-100.php,2006
"Viet Dung Dang",,"Overlapping Coalition Formation for Efficient Data Fusion in Multi-Sensor Networks",2006/aaai06-101.php,2006
"Rajdeep K. Dash",,"Overlapping Coalition Formation for Efficient Data Fusion in Multi-Sensor Networks",2006/aaai06-101.php,2006
"Alex Rogers",,"Overlapping Coalition Formation for Efficient Data Fusion in Multi-Sensor Networks",2006/aaai06-101.php,2006
"Nicholas R. Jennings",,"Overlapping Coalition Formation for Efficient Data Fusion in Multi-Sensor Networks",2006/aaai06-101.php,2006
"Piotr Faliszewski",,"The Complexity of Bribery in Elections",2006/aaai06-102.php,2006
"Edith Hemaspaandra",,"The Complexity of Bribery in Elections",2006/aaai06-102.php,2006
"Lane A. Hemaspaandra",,"The Complexity of Bribery in Elections",2006/aaai06-102.php,2006
"Rachel Greenstadt",,"Analysis of Privacy Loss in Distributed Constraint Optimization",2006/aaai06-103.php,2006
"Jonathan P. Pearce",,"Analysis of Privacy Loss in Distributed Constraint Optimization",2006/aaai06-103.php,2006
"Milind Tambe",,"Analysis of Privacy Loss in Distributed Constraint Optimization",2006/aaai06-103.php,2006
"Gery Gutnik",,"From Centralized to Distributed Selective Overhearing",2006/aaai06-104.php,2006
"Gal A. Kaminka",,"From Centralized to Distributed Selective Overhearing",2006/aaai06-104.php,2006
"Katsutoshi Hirayama",,"A New Approach to Distributed Task Assignment using Lagrangian Decomposition and Distributed Constraint Satisfaction",2006/aaai06-105.php,2006
"Jian Huang",,"Distributed Interactive Learning in Multi-Agent Systems",2006/aaai06-106.php,2006
"Adrian R. Pearce",,"Distributed Interactive Learning in Multi-Agent Systems",2006/aaai06-106.php,2006
"Nathanaël Hyafil",,"Regret-based Incremental Partial Revelation Mechanisms",2006/aaai06-107.php,2006
"Craig Boutilier",,"Regret-based Incremental Partial Revelation Mechanisms",2006/aaai06-107.php,2006
"Albert Xin Jiang",,"A Polynomial-Time Algorithm for Action Graph Games",2006/aaai06-108.php,2006
"Kevin Leyton-Brown",,"A Polynomial-Time Algorithm for Action Graph Games",2006/aaai06-108.php,2006
"Kaivan Kamali",,"Multiparty Proactive Communication: A Perspective for Evolving Shared Mental Models",2006/aaai06-109.php,2006
"Xiaocong Fan",,"Multiparty Proactive Communication: A Perspective for Evolving Shared Mental Models",2006/aaai06-109.php,2006
"John Yen",,"Multiparty Proactive Communication: A Perspective for Evolving Shared Mental Models",2006/aaai06-109.php,2006
"Dov Monderer",,"Strong Mediated Equilibrium",2006/aaai06-110.php,2006
"Moshe Tennenholtz",,"Strong Mediated Equilibrium",2006/aaai06-110.php,2006
"Naoki Ohta",,"A Compact Representation Scheme for Coalitional Games in Open Anonymous Environments",2006/aaai06-111.php,2006
"Atsushi Iwasaki",,"A Compact Representation Scheme for Coalitional Games in Open Anonymous Environments",2006/aaai06-111.php,2006
"Makoto Yokoo",,"A Compact Representation Scheme for Coalitional Games in Open Anonymous Environments",2006/aaai06-111.php,2006
