full_name,f_name,affiliation,paper_title,paper_url,year
Serge Gaspers,serge,,Don't Be Strict in Local Search!,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4929,2012
Eun Jung Kim,eun,,Don't Be Strict in Local Search!,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4929,2012
Sebastian Ordyniak,sebastian,,Don't Be Strict in Local Search!,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4929,2012
Saket Saurabh,saket,,Don't Be Strict in Local Search!,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4929,2012
Stefan Szeider,stefan,,Don't Be Strict in Local Search!,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4929,2012
Serdar Kadioglu,serdar,,Non-Model-Based Search Guidance for Set Partitioning Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5082,2012
Yuri Malitsky,yuri,,Non-Model-Based Search Guidance for Set Partitioning Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5082,2012
Meinolf Sellmann,meinolf,,Non-Model-Based Search Guidance for Set Partitioning Problems,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5082,2012
Ronan Le Bras,ronan,,From Streamlined Combinatorial Search to Efficient Constructive Procedures,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5170,2012
Carla Gomes,carla,,From Streamlined Combinatorial Search to Efficient Constructive Procedures,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5170,2012
Bart Selman,bart,,From Streamlined Combinatorial Search to Efficient Constructive Procedures,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5170,2012
Jimmy Lee,jimmy,,Polynomially Decomposable Global Cost Functions in Weighted Constraint Satisfaction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4943,2012
Ka Lun Leung,ka,,Polynomially Decomposable Global Cost Functions in Weighted Constraint Satisfaction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4943,2012
Yi Wu,yi,,Polynomially Decomposable Global Cost Functions in Weighted Constraint Satisfaction,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4943,2012
Levi H. S. Lelis,levi,,Fast and Accurate Predictions of IDA*'s Performance,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4962,2012
