"Quanjun Chen, Xuan Song, Harutoshi Yamada, Ryosuke Shibasaki",Learning Deep Representation from Big and Heterogeneous Data for Traffic Accident Inference,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12036,2016
"Daniel Urieli, Peter Stone",Autonomous Electricity Trading Using Time-of-Use Tariffs in a Competitive Market,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12538,2016
"Alexander Braylan, Mark Hollenbeck, Elliot Meyerson, Risto Miikkulainen",Reuse of Neural Modules for General Video Game Playing,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12441,2016
"Nikolai Yakovenko, Liangliang Cao, Colin Raffel, James Fan",Poker-CNN: A Pattern Learning Strategy for Making Draws and Bets in Poker Games Using Convolutional Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12172,2016
"Markus Brill, Rupert Freeman, Vincent Conitzer",Computing Possible and Necessary Equilibrium Actions (and Bipartisan Set Winners),http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12480,2016
"AmirMahdi Ahmadinejad, Sina Dehghani, MohammadTaghi Hajiaghay, Brendan Lucier, Hamid Mahini, Saeed Seddighin",From Duels to Battlefields: Computing Equilibria of Blotto and Other Games,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12163,2016
"Michael Albert, Vincent Conitzer, Giuseppe Lopomo",Maximizing Revenue with Limited Correlation: The Cost of Ex-Post Incentive Compatibility,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12254,2016
"Elliot Anshelevich, Shreyas Sekar","Blind,  Greedy,  and Random: Algorithms for Matching and Clustering Using Only Ordinal Information",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12099,2016
"Haris Aziz, Omer Lev, Nicholas Mattei, Jeffrey S. Rosenschein, Toby Walsh","Strategyproof Peer Selection: Mechanisms,  Analyses,  and Experiments",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12205,2016
"Nicola Basilico, Giuseppe De Nittis, Nicola Gatti",A Security Game Combining Patrolling and Alarm-Triggered Responses Under Spatial and Detection Uncertainties,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11904,2016
"Xiaohui Bei, Wei Chen, Jugal Garg, Martin Hoefer, Xiaoming Sun",Learning Market Parameters Using Aggregate Demand Queries,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12052,2016
"Simina Brânzei, Ioannis Caragiannis, David Kurokawa, Ariel D. Procaccia",An Algorithmic Framework for Strategic Fair Division,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12294,2016
"Matthew Brown, Arunesh Sinha, Aaron Schlenker, Milind Tambe",One Size Does Not Fit All: A Game-Theoretic Approach for Dynamically and Effectively Screening for Threats,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11930,2016
