Chaochao Chen,,Capturing Semantic Correlation for Item Recommendation in Tagging Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11994,2016
Xiaolin Zheng,,Capturing Semantic Correlation for Item Recommendation in Tagging Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11994,2016
Yan Wang,,Capturing Semantic Correlation for Item Recommendation in Tagging Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11994,2016
Fuxing Hong,,Capturing Semantic Correlation for Item Recommendation in Tagging Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11994,2016
Deren Chen,,Capturing Semantic Correlation for Item Recommendation in Tagging Systems,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11994,2016
Zhi-Hong Deng,,Identifying Sentiment Words Using an Optimization Model with L1 Regularization,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11849,2016
Hongliang Yu,,Identifying Sentiment Words Using an Optimization Model with L1 Regularization,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11849,2016
Yunlun Yang,,Identifying Sentiment Words Using an Optimization Model with L1 Regularization,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11849,2016
Hanyin Fang,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Fei Wu,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Zhou Zhao,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Xinyu Duan,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Yueting Zhuang,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Martin Ester,,Community-Based Question Answering via Heterogeneous Social Network Learning,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11903,2016
Hancheng Ge,,"College Towns,  Vacation Spots,  and Tech Hubs: Using Geo-Social Media to Model and Compare Locations",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12324,2016
James Caverlee,,"College Towns,  Vacation Spots,  and Tech Hubs: Using Geo-Social Media to Model and Compare Locations",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12324,2016
Jing He,,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12361,2016
Xin Li,,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12361,2016
Lejian Liao,,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12361,2016
Dandan Song,,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12361,2016
William K. Cheung,,Inferring a Personalized Next Point-of-Interest Recommendation Model with Latent Behavior Patterns,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12361,2016
Ruining He,,VBPR: Visual Bayesian Personalized Ranking from Implicit Feedback,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11914,2016
Julian McAuley,,VBPR: Visual Bayesian Personalized Ranking from Implicit Feedback,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11914,2016
Wei He,,Improved Neural Machine Translation with SMT Features,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12189,2016
Zhongjun He,,Improved Neural Machine Translation with SMT Features,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12189,2016
Hua Wu,,Improved Neural Machine Translation with SMT Features,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12189,2016
Haifeng Wang,,Improved Neural Machine Translation with SMT Features,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12189,2016
Athirai A. Irissappane,,A Scalable Framework to Choose Sellers in E-Marketplaces Using POMDPs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12378,2016
Frans A. Oliehoek,,A Scalable Framework to Choose Sellers in E-Marketplaces Using POMDPs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12378,2016
Jie Zhang,,A Scalable Framework to Choose Sellers in E-Marketplaces Using POMDPs,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12378,2016
Yongpo Jia,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
Xuemeng Song,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
Jingbo Zhou,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
Li Liu,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
Liqiang Nie,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
David S. Rosenblum,,Fusing Social Networks with Deep Learning for Volunteerism Tendency Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12229,2016
Di Jin,,Detect Overlapping Communities via Ranking Node Popularities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12064,2016
Hongcui Wang,,Detect Overlapping Communities via Ranking Node Popularities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12064,2016
Jianwu Dang,,Detect Overlapping Communities via Ranking Node Popularities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12064,2016
Dongxiao He,,Detect Overlapping Communities via Ranking Node Popularities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12064,2016
Weixiong Zhang,,Detect Overlapping Communities via Ranking Node Popularities,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12064,2016
Zhao Kang,,Top-N Recommender System via Matrix Completion,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11824,2016
Chong Peng,,Top-N Recommender System via Matrix Completion,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11824,2016
